iter	Passed	Remaining
0	732	163974
1	1496	166877
2	2256	166963
3	3011	166398
4	3757	165322
5	4529	165344
6	5279	164419
7	6030	163585
8	6794	163068
9	7552	162385
10	8308	161636
11	9056	160759
12	9813	160032
13	10584	159528
14	11348	158874
15	12100	158068
16	12882	157624
17	13631	156758
18	14399	156123
19	15163	155427
20	15957	155019
21	16694	154041
22	17467	153408
23	18237	152734
24	18993	151948
25	19755	151205
26	20525	150518
27	21293	149814
28	22043	148981
29	22794	148164
30	23562	147454
31	24334	146766
32	25109	146089
33	25898	145490
34	26641	144623
35	27417	143939
36	28166	143114
37	28928	142359
38	29673	141521
39	30445	140812
40	31210	140067
41	31969	139297
42	32725	138511
43	33487	137755
44	34251	137004
45	35019	136270
46	35768	135463
47	36551	134784
48	37318	134042
49	38097	133339
50	38852	132556
51	39617	131804
52	40362	130988
53	41131	130248
54	41903	129518
55	42648	128708
56	43422	127980
57	44180	127209
58	44937	126433
59	45670	125594
60	46445	124871
61	47213	124125
62	47965	123340
63	48697	122505
64	49459	121746
65	50221	120989
66	50973	120206
67	51724	119422
68	52502	118700
69	53267	117949
70	54039	117211
71	54796	116442
72	55569	115705
73	56326	114936
74	57055	114111
75	57805	113329
76	58619	112672
77	59367	111885
78	60129	111125
79	60909	110398
80	61656	109611
81	62430	108872
82	63181	108094
83	63942	107332
84	64695	106557
85	65465	105810
86	66221	105041
87	66989	104290
88	67752	103532
89	68506	102760
90	69278	102014
91	70043	101258
92	70805	100497
93	71579	99754
94	72338	98989
95	73099	98227
96	73858	97462
97	74629	96714
98	75391	95953
99	76153	95192
100	76925	94443
101	77664	93654
102	78444	92915
103	79210	92158
104	79950	91371
105	80694	90590
106	81447	89820
107	82209	89059
108	82967	88295
109	83716	87522
110	84500	86784
111	85266	86027
112	86024	85263
113	86767	84484
114	87532	83726
115	88293	82965
116	89056	82205
117	89803	81431
118	90583	80687
119	91347	79928
120	92113	79171
121	92903	78434
122	93644	77656
123	94415	76902
124	94452	75561
125	95218	74814
126	95974	74059
127	96738	73309
128	97507	72563
129	98261	71806
130	98988	71029
131	99730	70264
132	100497	69517
133	101265	68769
134	102028	68019
135	102793	67269
136	103553	66516
137	104312	65761
138	105065	65004
139	105080	63798
140	105832	63048
141	106600	62308
142	107367	61567
143	108130	60823
144	108910	60088
145	109662	59338
146	110434	58598
147	111199	57853
148	111958	57106
149	112707	56353
150	113480	55612
151	114264	54876
152	115030	54131
153	115776	53377
154	116555	52638
155	117316	51889
156	118076	51141
157	118826	50388
158	119595	49643
159	120363	48897
160	121130	48151
161	121906	47408
162	122656	46654
163	123432	45911
164	124196	45162
165	124949	44409
166	125700	43656
167	126471	42910
168	127222	42156
169	127982	41406
170	128728	40651
171	129507	39906
172	130267	39155
173	131035	38406
174	131787	37653
175	132565	36907
176	133326	36156
177	134090	35405
178	134835	34650
179	135612	33903
180	136379	33153
181	137140	32401
182	137923	31654
183	138664	30898
184	139438	30148
185	140192	29395
186	140959	28644
187	141697	27887
188	142471	27137
189	143229	26384
190	143986	25631
191	144740	24877
192	145520	24127
193	146279	23374
194	147040	22621
195	147794	21867
196	148568	21116
197	149330	20363
198	150093	19610
199	150848	18856
200	151622	18104
201	152393	17351
202	153169	16599
203	153943	15847
204	154685	15091
205	155452	14337
206	156213	13583
207	156969	12829
208	157722	12074
209	158487	11320
210	159247	10566
211	160012	9812
212	160754	9056
213	161528	8302
214	162287	7548
215	163053	6793
216	163803	6038
217	164566	5284
218	165343	4529
219	166098	3774
220	166819	3019
221	167589	2264
222	168353	1509
223	169125	755
224	169905	0
